Step,AgentID,Speed,VehicleType,Position
1670,327,7.2,Car,"(236160072, 236160006)"
1671,313,14.4,Car,"(273461469, 273461466)"
1671,318,25.2,Car,"(236160072, 236160006)"
1671,319,25.2,Motorcycle,"(236160072, 267538595)"
1671,320,14.4,Truck,236160072
1671,321,14.4,Car,"(273461469, 273461466)"
1671,323,25.2,Truck,"(236160006, 236160072)"
1671,324,21.6,Car,"(281474610, 236306981)"
1671,325,10.8,Motorcycle,"(281474691, 281474610)"
1671,326,3.6,Car,"(273461469, 236160072)"
1671,327,10.8,Car,"(236160072, 236160006)"
1672,313,18.0,Car,"(273461469, 273461466)"
1672,318,25.2,Car,"(236160072, 236160006)"
1672,319,21.6,Motorcycle,"(236160072, 267538595)"
1672,320,10.8,Truck,"(236160072, 273461469)"
1672,321,18.0,Car,"(273461469, 273461466)"
1672,323,25.2,Truck,"(236160006, 236160072)"
1672,324,18.0,Car,"(281474610, 236306981)"
1672,325,14.4,Motorcycle,"(281474691, 281474610)"
1672,326,0.0,Car,"(273461469, 236160072)"
1672,327,14.4,Car,"(236160072, 236160006)"
1673,313,21.6,Car,"(273461469, 273461466)"
1673,318,25.2,Car,"(236160072, 236160006)"
1673,319,18.0,Motorcycle,"(236160072, 267538595)"
1673,323,25.2,Truck,"(236160006, 236160072)"
1673,324,14.4,Car,"(281474610, 236306981)"
1673,325,18.0,Motorcycle,"(281474691, 281474610)"
1673,326,0.0,Car,"(273461469, 236160072)"
1673,327,18.0,Car,"(236160072, 236160006)"
1674,313,25.2,Car,"(273461469, 273461466)"
1674,318,25.2,Car,"(236160072, 236160006)"
1674,319,14.4,Motorcycle,"(236160072, 267538595)"
1674,323,25.2,Truck,"(236160006, 236160072)"
1674,324,10.8,Car,236306981
1674,325,21.6,Motorcycle,"(281474691, 281474610)"
1674,326,0.0,Car,"(273461469, 236160072)"
1674,327,21.6,Car,"(236160072, 236160006)"
1674,328,0.0,Bus,"(281474691, 281474610)"
1675,313,25.2,Car,"(273461469, 273461466)"
1675,318,21.6,Car,"(236160072, 236160006)"
1675,319,10.8,Motorcycle,"(236160072, 267538595)"
1675,323,25.2,Truck,"(236160006, 236160072)"
1675,324,7.2,Car,"(236306981, 236160006)"
1675,325,25.2,Motorcycle,"(281474691, 281474610)"
1675,326,3.6,Car,236160072
1675,327,25.2,Car,"(236160072, 236160006)"
1675,328,3.6,Bus,"(281474691, 281474610)"
1675,329,0.0,Bus,"(236160072, 273461469)"
1676,313,25.2,Car,"(273461469, 273461466)"
1676,318,18.0,Car,"(236160072, 236160006)"
1676,319,7.2,Motorcycle,"(236160072, 267538595)"
1676,323,25.2,Truck,"(236160006, 236160072)"
1676,324,10.8,Car,"(236306981, 236160006)"
1676,325,21.6,Motorcycle,"(281474691, 281474610)"
1676,326,0.0,Car,"(236160072, 236160006)"
1676,327,25.2,Car,"(236160072, 236160006)"
1676,328,7.2,Bus,"(281474691, 281474610)"
1676,329,3.6,Bus,"(236160072, 273461469)"
1677,313,25.2,Car,"(273461469, 273461466)"
1677,318,14.4,Car,"(236160072, 236160006)"
1677,319,3.6,Motorcycle,"(236160072, 267538595)"
1677,323,25.2,Truck,"(236160006, 236160072)"
1677,324,14.4,Car,"(236306981, 236160006)"
1677,325,25.2,Motorcycle,"(281474691, 281474610)"
1677,326,3.6,Car,"(236160072, 236160006)"
1677,327,25.2,Car,"(236160072, 236160006)"
1677,328,10.8,Bus,"(281474691, 281474610)"
1677,329,0.0,Bus,"(236160072, 273461469)"
1677,330,0.0,Motorcycle,"(264345061, 236160006)"
1678,313,25.2,Car,"(273461469, 273461466)"
1678,318,10.8,Car,"(236160072, 236160006)"
1678,319,0.0,Motorcycle,"(236160072, 267538595)"
1678,323,25.2,Truck,"(236160006, 236160072)"
1678,324,18.0,Car,"(236306981, 236160006)"
1678,325,21.6,Motorcycle,"(281474691, 281474610)"
1678,326,7.2,Car,"(236160072, 236160006)"
1678,327,25.2,Car,"(236160072, 236160006)"
1678,328,14.4,Bus,"(281474691, 281474610)"
1678,329,3.6,Bus,273461469
1678,330,3.6,Motorcycle,"(264345061, 236160006)"
1679,313,25.2,Car,"(273461469, 273461466)"
1679,318,14.4,Car,236160006
1679,319,3.6,Motorcycle,"(236160072, 267538595)"
1679,323,21.6,Truck,"(236160006, 236160072)"
1679,324,21.6,Car,"(236306981, 236160006)"
1679,325,18.0,Motorcycle,281474610
1679,326,10.8,Car,"(236160072, 236160006)"
1679,327,25.2,Car,"(236160072, 236160006)"
1679,328,18.0,Bus,"(281474691, 281474610)"
1679,329,0.0,Bus,"(273461469, 273461466)"
1679,330,7.2,Motorcycle,"(264345061, 236160006)"
1680,313,25.2,Car,"(273461469, 273461466)"
1680,318,10.8,Car,"(236160006, 236306981)"
1680,319,0.0,Motorcycle,"(236160072, 267538595)"
1680,323,25.2,Truck,"(236160006, 236160072)"
1680,324,18.0,Car,"(236306981, 236160006)"
1680,325,14.4,Motorcycle,"(281474610, 236306981)"
1680,326,14.4,Car,"(236160072, 236160006)"
1680,327,25.2,Car,"(236160072, 236160006)"
1680,328,21.6,Bus,"(281474691, 281474610)"
1680,329,3.6,Bus,"(273461469, 273461466)"
1680,330,10.8,Motorcycle,"(264345061, 236160006)"
1680,331,0.0,Car,"(3044475380, 281474691)"
1681,313,25.2,Car,"(273461469, 273461466)"
1681,318,14.4,Car,"(236160006, 236306981)"
1681,319,0.0,Motorcycle,"(236160072, 267538595)"
1681,323,21.6,Truck,"(236160006, 236160072)"
1681,324,14.4,Car,"(236306981, 236160006)"
1681,325,18.0,Motorcycle,"(281474610, 236306981)"
1681,326,18.0,Car,"(236160072, 236160006)"
1681,327,25.2,Car,"(236160072, 236160006)"
1681,328,25.2,Bus,"(281474691, 281474610)"
1681,329,7.2,Bus,"(273461469, 273461466)"
1681,330,7.2,Motorcycle,236160006
1681,331,3.6,Car,"(3044475380, 281474691)"
